id;building_address;street_address;postal_code;city_id
1;models CFP Franc Human;Quality;Frozen hacking Home Loan Account;1
2;synthesizing;navigating Solutions;Handcrafted Concrete Chicken Architect South Dakota;2
3;Customer supply-chains Corporate;Mandatory Berkshire;Buckinghamshire;3
4;methodical;Producer;Chair;4
5;bypass Developer;Awesome Wooden Table;invoice;5
6;indexing Ports;China South Georgia and the South Sandwich Islands North Dakota;bypassing;6
7;capacitor;circuit hacking;interactive;7
8;navigate Skyway orchid;Leone Toys Home;Aruban Guilder;8
9;reboot National National;Soap Orchestrator;program Shoes optical;9
10;Rustic Cotton Shoes systemic alarm;Cayman Islands Dollar;Bacon withdrawal;10
